pmcid,journal,year,title,has_xml,fetch_ok
PMC11250103,Cell,2024,A pseudoautosomal glycosylation disorder prompts the revision of dolichol biosynthesis.,True,True
PMC11288247,Cell,2024,Hypothalamic neurons that mirror aggression.,False,False
PMC11658890,Cell,2024,Rapid DNA unwinding accelerates genome editing by engineered CRISPR-Cas9.,True,True
PMC11970524,Cell,2024,Evolution of diapause in the African turquoise killifish by remodeling the ancient gene regulatory landscape.,True,True
PMC11198729,Cell,2024,Human inherited CCR2 deficiency underlies progressive polycystic lung disease.,False,False
PMC11149630,Cell,2024,FLT3L governs the development of partially overlapping hematopoietic lineages in humans and mice.,False,False
PMC11106717,Cell,2024,Neurotransmitter classification from electron microscopy images at synaptic sites in Drosophila melanogaster.,True,True
PMC11145561,Cell,2024,BCAA-nitrogen flux in brown fat controls metabolic health independent of thermogenesis.,True,True
PMC11127782,Cell,2024,Synthetic protein circuits for programmable control of mammalian cell death.,True,True
PMC11136510,Cell,2024,"Global, site-resolved analysis of ubiquitylation occupancy and turnover rate reveals systems properties.",True,True
PMC11060037,Cell,2024,Time-series reconstruction of the molecular architecture of human centriole assembly.,True,True
PMC11015965,Cell,2024,Mastigoneme structure reveals insights into the O-linked glycosylation code of native hydroxyproline-rich helices.,True,True
PMC11938373,Cell,2024,Macromolecular condensation organizes nucleolar sub-phases to set up a pH gradient.,True,True
PMC11062076,Cell,2024,Contrasting somatic mutation patterns in aging human neurons and oligodendrocytes.,True,True
PMC11011246,Cell,2024,First-in-class MKK4 inhibitors enhance liver regeneration and prevent liver failure.,False,False
PMC7616034,Cell,2024,Cancer biomarkers: Emerging trends and clinical implications for personalized treatment.,True,True
PMC11574977,Cell,2024,Learning attentional templates for value-based decision-making.,True,True
PMC10988632,Cell,2024,Pan-cancer proteogenomics characterization of tumor immunity.,True,True
PMC10903630,Cell,2024,Selection of epigenetically privileged HIV-1 proviruses during treatment with panobinostat and interferon-α2a.,True,True
PMC10882425,Cell,2024,A synthetic differentiation circuit in Escherichia coli for suppressing mutant takeover.,True,True
PMC10935576,Cell,2024,Proteogenomic analysis of chemo-refractory high-grade serous ovarian cancer.,False,False
PMC10869139,Cell,2024,Microglia maintain structural integrity during fetal brain morphogenesis.,True,True
PMC10872432,Cell,2024,"Immune evasion, infectivity, and fusogenicity of SARS-CoV-2 BA.2.86 and FLip variants.",False,False
PMC7615560,Cell,2024,Coordinating brain-distributed network activities in memory resistant to extinction.,True,True
PMC10842692,Cell,2023,Human inherited CCR2 deficiency underlies progressive polycystic lung disease.,True,True
PMC10783624,Cell,2023,"RAF-like protein kinases mediate a deeply conserved, rapid auxin response.",True,True
PMC10858684,Cell,2023,Super-enhancers include classical enhancers and facilitators to fully activate gene expression.,False,False
PMC10783631,Cell,2023,A tridimensional atlas of the developing human head.,True,True
PMC7617692,Cell,2023,Structural evolution of fibril polymorphs during amyloid assembly.,True,True
PMC10760936,Cell,2023,Systematic identification and characterization of genes in the regulation and biogenesis of photosynthetic machinery.,True,True
PMC10752003,Cell,2023,A genetic history of the Balkans from Roman frontier to Slavic migrations.,True,True
PMC10754148,Cell,2023,LRRC37B is a human modifier of voltage-gated sodium channels and axon excitability in cortical neurons.,True,True
PMC10757650,Cell,2023,Early cellular mechanisms of type I interferon-driven susceptibility to tuberculosis.,False,False
PMC7617393,Cell,2023,Germinal centers output clonally diverse plasma cell populations expressing high- and low-affinity antibodies.,True,True
PMC10686415,Cell,2023,The proteomic landscape of synaptic diversity across brain regions and cell types.,True,True
PMC10841658,Cell,2023,Human MCTS1-dependent translation of JAK2 is essential for IFN-γ immunity to mycobacteria.,False,False
PMC10642369,Cell,2023,Mechanopathology of biofilm-like Mycobacterium tuberculosis cords.,True,True
PMC10842264,Cell,2023,De novo protein identification in mammalian sperm using in situ cryoelectron tomography and AlphaFold2 docking.,True,True
PMC7615941,Cell,2023,"Molecular basis of anaphylatoxin binding, activation, and signaling bias at complement receptors.",True,True
PMC11227373,Cell,2023,Serotonin reduction in post-acute sequelae of viral infection.,True,True
PMC10914680,Cell,2023,Generative replay underlies compositional inference in the hippocampal-prefrontal circuit.,True,True
PMC10642370,Cell,2023,Arginine reprograms metabolism in liver cancer via RBM39.,True,True
PMC10617981,Cell,2023,SND1 binds SARS-CoV-2 negative-sense RNA and promotes viral RNA synthesis through NSP9.,True,True
PMC10664023,Cell,2023,Mitigation of chromosome loss in clinical CRISPR-Cas9-engineered T cells.,False,False
PMC10659773,Cell,2023,Cytoplasmic division cycles without the nucleus and mitotic CDK/cyclin complexes.,False,False
PMC10789625,Cell,2023,ADP-ribosylation from molecular mechanisms to therapeutic implications.,True,True
PMC10765089,Cell,2023,Synthetic Par polarity induces cytoskeleton asymmetry in unpolarized mammalian cells.,True,True
PMC10580289,Cell,2023,Influence of autozygosity on common disease risk across the phenotypic spectrum.,True,True
PMC10580291,Cell,2023,Stepwise emergence of the neuronal gene expression program in early animal evolution.,True,True
PMC10633639,Cell,2023,Genetic manipulation of Patescibacteria provides mechanistic insights into microbial dark matter and the epibiotic lifestyle.,True,True
PMC7615103,Cell,2023,Corticotropin-releasing hormone signaling from prefrontal cortex to lateral septum suppresses interaction with familiar mice.,True,True
PMC7615185,Cell,2023,Structural basis for ion selectivity in potassium-selective channelrhodopsins.,True,True
PMC10545416,Cell,2023,Tracking cell-type-specific temporal dynamics in human and mouse brains.,True,True
PMC10529913,Cell,2023,Chromatin remodeling of histone H3 variants by DDM1 underlies epigenetic inheritance of DNA methylation.,True,True
PMC10443631,Cell,2023,Distinct molecular profiles of skull bone marrow in health and neurological disorders.,True,True
PMC10544749,Cell,2023,Humanized mouse liver reveals endothelial control of essential hepatic metabolic functions.,True,True
PMC10414761,Cell,2023,Proteogenomic analysis of chemo-refractory high-grade serous ovarian cancer.,False,False
PMC10501318,Cell,2023,PIEZO2 in somatosensory neurons controls gastrointestinal transit.,False,False
PMC10482982,Cell,2023,"Phage-assisted evolution and protein engineering yield compact, efficient prime editors.",True,True
PMC10546469,Cell,2023,Sparse and stereotyped encoding implicates a core glomerulus for ant alarm behavior.,True,True
PMC10501995,Cell,2023,Mechanism of orphan subunit recognition during assembly quality control.,True,True
PMC10528933,Cell,2023,Engineering RNA export for measurement and manipulation of living cells.,True,True
PMC10372881,Cell,2023,Vaccine-boosted CAR T crosstalk with host immunity to reject tumors with antigen heterogeneity.,True,True
PMC10409496,Cell,2023,TMEM106B is a receptor mediating ACE2-independent SARS-CoV-2 cell entry.,True,True
PMC10461406,Cell,2023,Comparative landscape of genetic dependencies in human and chimpanzee stem cells.,True,True
PMC10436379,Cell,2023,DNA hypomethylation silences anti-tumor immune genes in early prostate cancer and CTCs.,True,True
PMC10256282,Cell,2023,Biofilm formation on human immune cells is a multicellular predation strategy of Vibrio cholerae.,True,True
PMC10247138,Cell,2023,Dispersal patterns and influence of air travel during the global expansion of SARS-CoV-2 variants of concern.,True,True
PMC10354834,Cell,2023,Sleep is required to consolidate odor memory and remodel olfactory synapses.,False,False
PMC10403364,Cell,2023,Generating parallel representations of position and identity in the olfactory system.,True,True
PMC10228280,Cell,2023,Sites of transcription initiation drive mRNA isoform selection.,True,True
PMC10210232,Cell,2023,A budding new approach strengthens an important message.,True,True
PMC10187114,Cell,2023,Structure of the endosomal Commander complex linked to Ritscher-Schinzel syndrome.,True,True
PMC10228279,Cell,2023,Systemwide disassembly and assembly of SCF ubiquitin ligase complexes.,True,True
PMC10121106,Cell,2023,ESCRT recruitment to SARS-CoV-2 spike induces virus-like particles that improve mRNA vaccines.,True,True
PMC10321318,Cell,2023,A tissue injury sensing and repair pathway distinct from host pathogen defense.,True,True
PMC7615649,Cell,2023,The proteomic landscape of genome-wide genetic perturbations.,True,True
PMC10156177,Cell,2023,"Pyramidal neurons form active, transient, multilayered circuits perturbed by autism-associated mutations at the inception of neocortex.",True,True
PMC10099181,Cell,2023,The T-cell-directed vaccine BNT162b4 encoding conserved non-spike antigens protects animals from severe SARS-CoV-2 infection.,True,True
PMC10156175,Cell,2023,Systemwide disassembly and assembly of SCF ubiquitin ligase complexes.,True,True
PMC10156176,Cell,2023,Molecular mechanisms of stress-induced reactivation in mumps virus condensates.,True,True
PMC10134482,Cell,2023,Disrupting autorepression circuitry generates ''open-loop lethality'' to yield escape-resistant antiviral agents.,True,True
PMC10098372,Cell,2023,Ricca's factors as mobile proteinaceous effectors of electrical signaling.,True,True
PMC10135430,Cell,2023,A trailing ribosome speeds up RNA polymerase at the expense of transcript fidelity via force and allostery.,True,True
PMC9994262,Cell,2023,Cryo-EM structure of gas vesicles for buoyancy-controlled motility.,True,True
PMC7614509,Cell,2023,Apoptotic cell fragments locally activate tingible body macrophages in the germinal center.,True,True
PMC9994261,Cell,2023,Discovery of natural-product-derived sequanamycins as potent oral anti-tuberculosis agents.,True,True
PMC10085545,Cell,2023,Bat pluripotent stem cells reveal unusual entanglement between host and viruses.,True,True
PMC9922669,Cell,2023,A pseudovirus system enables deep mutational scanning of the full SARS-CoV-2 spike.,True,True
PMC9994260,Cell,2023,Cryo-EM structure of the RADAR supramolecular anti-phage defense complex.,True,True
PMC9892333,Cell,2023,Angiotensin-converting enzyme 2-at the heart of the COVID-19 pandemic.,True,True
PMC9907019,Cell,2023,Human IRF1 governs macrophagic IFN-γ immunity to mycobacteria.,True,True
PMC9994263,Cell,2023,Recycling of modified H2A-H2B provides short-term memory of chromatin states.,True,True
PMC9933427,Cell,2023,A bat MERS-like coronavirus circulates in pangolins and utilizes human DPP4 and host proteases for cell entry.,True,True
PMC9933577,Cell,2023,Pangolin merbecovirus gets down to (poly)basics.,True,True
PMC10327443,Cell,2023,All-optical physiology resolves a synaptic basis for behavioral timescale plasticity.,True,True
PMC11913777,Cell,2023,Lymphatic vessels in bone support regeneration after injury.,True,True
PMC9842395,Cell,2023,Structural and functional map for forelimb movement phases between cortex and medulla.,True,True
PMC9990527,Cell,2023,An approximate line attractor in the hypothalamus encodes an aggressive state.,False,False
PMC10024607,Cell,2022,Molecular and spatial signatures of mouse brain aging at single-cell resolution.,True,True
PMC9747694,Cell,2022,Alarming antibody evasion properties of rising SARS-CoV-2 BQ and XBB subvariants.,True,True
PMC7618435,Cell,2022,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates.,True,True
PMC9715480,Cell,2022,SARS-CoV-2 replication in airway epithelia requires motile cilia and microvillar reprogramming.,True,True
PMC9793425,Cell,2022,Genome-wide data from medieval German Jews show that the Ashkenazi founder event pre-dated the 14<sup>th</sup> century.,False,False
PMC11605990,Cell,2022,A brainstem integrator for self-location memory and positional homeostasis in zebrafish.,True,True
PMC9798831,Cell,2022,Structural basis for the assembly of the type V CRISPR-associated transposon complex.,True,True
PMC9684001,Cell,2022,Intranasal pediatric parainfluenza virus-vectored SARS-CoV-2 vaccine is protective in monkeys.,True,True
PMC10030194,Cell,2022,Membrane phosphoinositides regulate GPCR-β-arrestin complex assembly and dynamics.,True,True
PMC9617784,Cell,2022,SYK coordinates neuroprotective microglial responses in neurodegenerative disease.,False,False
PMC10069481,Cell,2022,Differential mosquito attraction to humans is associated with skin-derived carboxylic acid levels.,False,False
PMC9596381,Cell,2022,GPC3-Unc5 receptor complex structure and role in cell migration.,True,True
PMC9531661,Cell,2022,A mechanism for SARS-CoV-2 RNA capping and its inhibition by nucleotide analog inhibitors.,True,True
PMC9623500,Cell,2022,Quorum-sensing- and type VI secretion-mediated spatiotemporal cell death drives genetic diversity in Vibrio cholerae.,True,True
PMC9747239,Cell,2022,State-selective modulation of heterotrimeric Gαs signaling with macrocyclic peptides.,True,True
PMC9472642,Cell,2022,"Virological characteristics of the SARS-CoV-2 Omicron BA.2 subvariants, including BA.4 and BA.5.",True,True
PMC9596383,Cell,2022,mTOR-regulated mitochondrial metabolism limits mycobacterium-induced cytotoxicity.,True,True
PMC9567272,Cell,2022,Pan-cancer analyses reveal cancer-type-specific fungal ecologies and bacteriome interactions.,True,True
PMC9439720,Cell,2022,High-coverage whole-genome sequencing of the expanded 1000 Genomes Project cohort including 602 trios.,True,True
PMC9428596,Cell,2022,Deep mutational learning predicts ACE2 binding and antibody escape to combinatorial mutations in the SARS-CoV-2 receptor-binding domain.,True,True
PMC9567273,Cell,2022,Repression and 3D-restructuring resolves regulatory conflicts in evolutionarily rearranged genomes.,True,True
PMC9789380,Cell,2022,A serotonergic axon-cilium synapse drives nuclear signaling to alter chromatin accessibility.,False,False
PMC9420710,Cell,2022,Deep mutational scanning identifies SARS-CoV-2 Nucleocapsid escape mutations of currently available rapid antigen tests.,True,True
PMC9490236,Cell,2022,Accurate de novo design of membrane-traversing macrocycles.,True,True
PMC10387374,Cell,2022,Cell-type-specific population dynamics of diverse reward computations.,True,True
PMC9563101,Cell,2022,Sustained deep-tissue voltage recording using a fast indicator evolved for two-photon microscopy.,True,True
PMC9395144,Cell,2022,Monkeypox emergency: Urgent questions and perspectives.,True,True
PMC9464905,Cell,2022,Intestinal transgene delivery with native E. coli chassis allows persistent physiological changes.,False,False
PMC9439721,Cell,2022,Post-gastrulation synthetic embryos generated ex utero from mouse naive ESCs.,True,True
PMC9480278,Cell,2022,Non-canonical odor coding in the mosquito.,False,False
PMC9469646,Cell,2022,Microbial liberation of N-methylserotonin from orange fiber in gnotobiotic mice and humans.,False,False
PMC9630439,Cell,2022,Structure of a fully assembled tumor-specific T cell receptor ligated by pMHC.,True,True
PMC9386946,Cell,2022,From rare disorders of immunity to common determinants of infection: Following the mechanistic thread.,True,True
PMC9432429,Cell,2022,The intrinsic and extrinsic effects of TET proteins during gastrulation.,True,True
PMC9279490,Cell,2022,Emergence of immune escape at dominant SARS-CoV-2 killer T cell epitope.,True,True
PMC9212699,Cell,2022,Structural basis of human ACE2 higher binding affinity to currently circulating Omicron SARS-CoV-2 sub-variants BA.2 and BA.1.1.,True,True
PMC9197953,Cell,2022,COVID fog demystified.,True,True
PMC9189143,Cell,2022,Mild respiratory COVID can cause multi-lineage neural cell and myelin dysregulation.,True,True
PMC9181312,Cell,2022,Antibody escape of SARS-CoV-2 Omicron BA.4 and BA.5 from vaccine and BA.1 serum.,True,True
PMC9380471,Cell,2022,Mapping information-rich genotype-phenotype landscapes with genome-scale Perturb-seq.,True,True
PMC9240326,Cell,2022,BacPROTACs mediate targeted protein degradation in bacteria.,True,True
PMC9135677,Cell,2022,Humoral and cellular immune memory to four COVID-19 vaccines.,True,True
PMC9240327,Cell,2022,Mobilization-based chemotherapy-free engraftment of gene-edited human hematopoietic stem cells.,True,True
PMC9135795,Cell,2022,"Structure, receptor recognition, and antigenicity of the human coronavirus CCoV-HuPn-2018 spike glycoprotein.",True,True
PMC9120130,Cell,2022,Potent cross-reactive antibodies following Omicron breakthrough in vaccinees.,True,True
PMC9097017,Cell,2022,"Disrupting autorepression circuitry generates ""open-loop lethality"" to yield escape-resistant antiviral agents.",True,True
PMC9596379,Cell,2022,A family of conserved bacterial virulence factors dampens interferon responses by blocking calcium signaling.,True,True
PMC9057982,Cell,2022,Virological characteristics of the SARS-CoV-2 Omicron BA.2 spike.,True,True
PMC9166250,Cell,2022,The genomic origins of the world's first farmers.,True,True
PMC9134488,Cell,2022,Evidence in favor of the essentiality of human cell membrane-bound ACE2 and against soluble ACE2 for SARS-CoV-2 infectivity.,True,True
PMC9042943,Cell,2022,Protective prototype-Beta and Delta-Omicron chimeric RBD-dimer vaccines against SARS-CoV-2.,True,True
PMC9134487,Cell,2022,Response to Evidence in favor of the essentiality of human cell membrane-bound ACE2 and against soluble ACE2 for SARS-CoV-2 infectivity.,True,True
PMC8979763,Cell,2022,Learning lessons from lipids to make COVID-19 vaccines.,True,True
PMC8979764,Cell,2022,Bringing research to the intensive care setting.,True,True
PMC8971115,Cell,2022,Circular RNA vaccines against SARS-CoV-2 and emerging variants.,True,True
PMC9042794,Cell,2022,Ancient genomes reveal origin and rapid trans-Eurasian migration of 7<sup>th</sup> century Avar elites.,True,True
PMC9097488,Cell,2022,Short prokaryotic Argonaute systems trigger cell death upon detection of invading DNA.,True,True
PMC9042795,Cell,2022,Liquid-to-solid phase transition of oskar ribonucleoprotein granules is essential for their function in Drosophila embryonic development.,True,True
PMC8958157,Cell,2022,Boosting with variant-matched or historical mRNA vaccines protects against Omicron infection in mice.,True,True
PMC8947944,Cell,2022,"mRNA-1273 or mRNA-Omicron boost in vaccinated macaques elicits similar B cell expansion, neutralizing responses, and protection from Omicron.",True,True
PMC8930394,Cell,2022,Neutralizing immunity in vaccine breakthrough infections from the SARS-CoV-2 Omicron and Delta variants.,True,True
PMC8926910,Cell,2022,Vaccine protection against the SARS-CoV-2 Omicron variant in macaques.,True,True
PMC8926873,Cell,2022,Imprinted SARS-CoV-2-specific memory lymphocytes define hybrid immunity.,True,True
PMC8970296,Cell,2022,Large-scale two-photon calcium imaging in freely moving mice.,True,True
PMC8907017,Cell,2022,Broad neutralization of SARS-CoV-2 variants by an inhalable bispecific single-domain antibody.,True,True
PMC8969090,Cell,2022,T cell reactivity to the SARS-CoV-2 Omicron variant is preserved in most but not all individuals.,True,True
PMC8990337,Cell,2022,A midbrain-thalamus-cortex circuit reorganizes cortical dynamics to initiate movement.,False,False
PMC8928419,Cell,2022,Getting to the (germinal) center of humoral immune responses to SARS-CoV-2.,True,True
PMC8970287,Cell,2022,Cell surface fluctuations regulate early embryonic lineage sorting.,True,True
PMC8896887,Cell,2022,Cell surface fluctuations regulate early embryonic lineage sorting.,True,True
PMC8808699,Cell,2022,Non-cell-autonomous disruption of nuclear architecture as a potential cause of COVID-19-induced anosmia.,True,True
PMC8810349,Cell,2022,T cell reactivity to the SARS-CoV-2 Omicron variant is preserved in most but not all individuals.,True,True
